LEGACY_CUST_ID,CUSTOMER_NAME,TAX_REGISTRATION_NUM,ADDRESS_LINE1,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY,OPEN_BALANCE,STATUS
CUST-42905,Quantum Logistics Group,TX-23756669,4112 Lincoln Blvd,Toronto,ON,M5H 2N2,CA,101666.57,ACTIVE
CUST-42906,Nexus Semiconductor Partners,39-9478454,620 Market Ave,Boston,MA,02115,US,90501.8,ACTIVE
CUST-42907,Global Biotech Partners,TX-10872248,3711 Commerce Pkwy,Sydney,NSW,2000,AU,113941.7,ACTIVE
CUST-42908,Meridian Systems Group,21-7374122,2647 Washington Dr,Seattle,WA,98101,US,14959.1,ACTIVE
CUST-42909,Terra Robotics Group,TX-60806024,811 Commerce Ave,Singapore,SG,018989,SG,12280.63,ACTIVE
CUST-42910,Nova Semiconductor Ltd,TX-48840994,1239 Grand Way,Sydney,NSW,2000,AU,147790.62,ACTIVE
CUST-42911,Delta Pharmaceuticals Partners,57-6960453,4654 Commerce Dr,San Francisco,CA,94102,US,31821.3,ACTIVE
CUST-42912,Pinnacle Robotics Corp,58-5528972,8851 Lincoln Blvd,Atlanta,GA,30301,US,148433.74,ACTIVE
CUST-42913,Delta Systems Inc,44-2110460,3852 Grand Dr,Chicago,IL,60601,US,32041.94,ACTIVE
CUST-42914,Solar Healthcare Holdings,27-5137722,6582 Commerce Blvd,New York,NY,10005,US,111875.85,ACTIVE
CUST-42915,Precision Semiconductor Partners,27-9548432,9660 Enterprise Dr,Boston,MA,02115,US,74280.62,ACTIVE
CUST-42916,Horizon Pharmaceuticals Corp,58-8852574,2721 Technology Ave,Chicago,IL,60601,US,79602.59,ACTIVE
CUST-42917,Apex Pharmaceuticals Group,30-8612220,5673 Pine Pkwy,Chicago,IL,60601,US,985.17,ACTIVE
CUST-42918,Precision Innovations Corp,TX-95758349,8417 Pine Pkwy,Berlin,BE,10115,DE,76395.6,ACTIVE
CUST-42919,Vanguard Networks Corp,51-9197443,8937 Gateway St,Miami,FL,33101,US,3411.77,ACTIVE
CUST-42920,Crest Financial Inc,TX-75228535,4046 Oak Ave,Toronto,ON,M5H 2N2,CA,122495.48,ACTIVE
CUST-42921,Stellar Retail Holdings,87-8099076,9107 Cedar Pkwy,Dallas,TX,75201,US,144672.25,ACTIVE
CUST-42922,Global Manufacturing Partners,41-4769795,6218 Commerce Lane,Seattle,WA,98101,US,10071.87,ACTIVE
CUST-42923,Delta Semiconductor Ltd,18-1527021,217 Oak St,Boston,MA,02115,US,129015.49,ACTIVE
CUST-42924,Cortex Financial Group,TX-86644106,8053 Washington Blvd,Toronto,ON,M5H 2N2,CA,86643.64,ACTIVE
CUST-42925,Kinetics Enterprises Ltd,64-7897151,1645 Pine Rd,Denver,CO,80202,US,70320.19,ACTIVE
CUST-42926,Horizon Pharmaceuticals Inc,34-4191175,6696 Industrial Ave,Boston,MA,02115,US,80674.72,ACTIVE
CUST-42927,Meridian Solutions Group,80-2642635,7679 Lincoln Ave,Atlanta,GA,30301,US,8062.96,ACTIVE
CUST-42928,Apex Aerospace Ltd,37-7728339,2824 Technology Lane,Atlanta,GA,30301,US,135415.21,ACTIVE
CUST-42929,Aero Logistics Partners,99-9164991,4445 Commerce Pkwy,Chicago,IL,60601,US,23642.13,ACTIVE
CUST-42930,Omni Technologies Inc,71-9436429,5238 Grand St,Miami,FL,33101,US,137948.38,ACTIVE
CUST-42931,Pacific Technologies LLC,GB352548261,3144 Oak Ave,London,ENG,EC1A 1BB,GB,60864.44,ACTIVE
CUST-42932,Silverline Semiconductor Inc,TX-44999379,1443 Technology Dr,Singapore,SG,018989,SG,31036.75,ACTIVE
CUST-42933,Solar Financial Group,50-2217071,6584 Maple Pkwy,Atlanta,GA,30301,US,1892.66,ACTIVE
CUST-42934,Vertex Aerospace Ltd,TX-56843172,8388 Highland Blvd,Singapore,SG,018989,SG,132189.19,ACTIVE
CUST-42935,Nova Manufacturing Corp,93-9874152,7279 Mission Pkwy,Miami,FL,33101,US,1669.55,ACTIVE
CUST-42936,Crest Pharmaceuticals Corp,TX-84252420,4433 Pine Ave,Toronto,ON,M5H 2N2,CA,23739.46,ACTIVE
CUST-42937,Omni Systems Ltd,16-2548511,4425 Gateway Lane,New York,NY,10005,US,95325.52,ACTIVE
CUST-42938,Prime Technologies Inc,66-8175395,5564 Maple Pkwy,San Francisco,CA,94102,US,84355.58,ACTIVE
CUST-42939,Pinnacle Retail Inc,26-1701771,6149 Mission Blvd,Chicago,IL,60601,US,46584.62,ACTIVE
CUST-42940,Summit Networks Ltd,TX-85146293,4188 Pine Dr,Sydney,NSW,2000,AU,132678.14,ACTIVE
CUST-42941,Vanguard Financial Corp,52-7907400,3000 Technology St,San Francisco,CA,94102,US,120434.15,ACTIVE
CUST-42942,Silverline Energy Corp,TX-73174945,1871 Enterprise St,Berlin,BE,10115,DE,33753.84,ACTIVE
CUST-42943,Sterling Networks Group,GB307371533,3828 Lincoln St,London,ENG,EC1A 1BB,GB,60070.66,ACTIVE
CUST-42944,Pinnacle Energy International,24-5382463,8446 Enterprise Dr,Austin,TX,78701,US,27195.89,ACTIVE
CUST-42945,Summit Pharmaceuticals Partners,75-2940214,5763 Industrial Rd,Miami,FL,33101,US,58086.72,ACTIVE
CUST-42946,Global Energy Inc,65-2173965,7244 Market Way,Denver,CO,80202,US,142356.74,ACTIVE
CUST-42947,Solar Pharmaceuticals Group,61-5960271,8408 Broadway Rd,Denver,CO,80202,US,83384.67,ACTIVE
CUST-42948,Catalyst Dynamics Corp,10-6098175,9424 Broadway Rd,Dallas,TX,75201,US,43393.6,ACTIVE
CUST-42949,Solar Industries Holdings,TX-32775593,7344 Washington Lane,Sydney,NSW,2000,AU,98998.19,ACTIVE
CUST-42950,Cortex Robotics International,35-3472189,1630 Lincoln Pkwy,Boston,MA,02115,US,4151.6,ACTIVE
CUST-42951,Kinetics Robotics LLC,TX-61536717,7561 Technology Way,Toronto,ON,M5H 2N2,CA,74409.39,ACTIVE
CUST-42952,Vanguard Logistics LLC,TX-79519112,7065 Lincoln Blvd,Sydney,NSW,2000,AU,69950.21,ACTIVE
CUST-42953,Silverline Pharmaceuticals Holdings,TX-69401199,2284 Commerce Dr,Sydney,NSW,2000,AU,92091.52,ACTIVE
CUST-42954,Cortex Enterprises Holdings,41-5652512,2707 Corporate Lane,New York,NY,10005,US,114989.15,ACTIVE
CUST-42955,Frontier Financial Group,44-6634586,7306 Oak Pkwy,Boston,MA,02115,US,48296.58,ACTIVE
CUST-42956,Nexus Retail Corp,TX-38716269,3888 Enterprise Blvd,Toronto,ON,M5H 2N2,CA,10102.21,ACTIVE
CUST-42957,Echo Biotech Holdings,TX-66390708,6912 Grand Way,Berlin,BE,10115,DE,58726.78,ACTIVE
CUST-42958,Beacon Semiconductor Partners,59-8030010,7914 Market Dr,New York,NY,10005,US,80963.97,ACTIVE
CUST-42959,Delta Consulting Ltd,59-6639317,4571 Technology Lane,Austin,TX,78701,US,100496.61,ACTIVE
CUST-42960,Synapse Solutions Holdings,TX-62884503,2191 Mission St,Singapore,SG,018989,SG,88987.97,ACTIVE
CUST-42961,Beacon Aerospace Partners,43-7360307,2323 Commerce Blvd,Austin,TX,78701,US,49439.22,ACTIVE
CUST-42962,Solar Systems Partners,TX-20993268,4658 Technology Pkwy,Berlin,BE,10115,DE,70810.87,ACTIVE
CUST-42963,Horizon Networks Ltd,35-1341919,1224 Grand St,Boston,MA,02115,US,93389.68,ACTIVE
CUST-42964,Stellar Consulting LLC,TX-44392446,9340 Washington Lane,Toronto,ON,M5H 2N2,CA,115151.27,ACTIVE
CUST-42965,Quantum Solutions Group,96-7296605,1871 Market Pkwy,Miami,FL,33101,US,59799.84,ACTIVE
CUST-42966,Global Aerospace Ltd,TX-85958181,1769 Broadway Ave,Sydney,NSW,2000,AU,117503.98,ACTIVE
CUST-42967,Meridian Networks LLC,TX-66379329,8389 Industrial St,Berlin,BE,10115,DE,123438.47,ACTIVE
CUST-42968,Meridian Networks Holdings,TX-80027662,2606 Technology Blvd,Toronto,ON,M5H 2N2,CA,144838.32,ACTIVE
CUST-42969,Kinetics Industries Partners,TX-42949803,9807 Highland Dr,Berlin,BE,10115,DE,124694.29,ACTIVE
CUST-42970,Prime Industries Ltd,73-6452832,7713 Enterprise Dr,Austin,TX,78701,US,27685.06,ACTIVE
CUST-42971,Terra Energy International,34-2436347,4681 Highland St,Dallas,TX,75201,US,36582.73,ACTIVE
CUST-42972,Frontier Biotech Ltd,TX-12314351,7900 Corporate Lane,Sydney,NSW,2000,AU,14411.48,ACTIVE
CUST-42973,Synapse Financial Group,77-6767292,9628 Innovation Lane,Dallas,TX,75201,US,64112.82,ACTIVE
CUST-42974,Echo Networks Holdings,25-4231028,4538 Broadway Pkwy,Boston,MA,02115,US,47674.42,ACTIVE
CUST-42975,Atlantic Healthcare Ltd,34-5970190,8033 Highland Pkwy,Seattle,WA,98101,US,34508.73,ACTIVE
CUST-42976,Crest Logistics Corp,47-3118618,4594 Grand St,Dallas,TX,75201,US,95861.51,ACTIVE
