LEGACY_CUST_ID,CUSTOMER_NAME,TAX_REGISTRATION_NUM,ADDRESS_LINE1,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY,OPEN_BALANCE,STATUS
CUST-45486,Nexus Semiconductor Holdings,GB953097928,8019 Maple Dr,London,ENG,EC1A 1BB,GB,96565.85,ACTIVE
CUST-45487,Vertex Healthcare Corp,39-7749892,4434 Grand Pkwy,Chicago,IL,60601,US,11691.94,ACTIVE
CUST-45488,Global Innovations Ltd,TX-21605401,3152 Industrial Blvd,Singapore,SG,018989,SG,82989.51,ACTIVE
CUST-45489,Sterling Networks Corp,TX-17391119,8286 Commerce St,Toronto,ON,M5H 2N2,CA,36819.87,ACTIVE
CUST-45490,Delta Dynamics Group,TX-32053873,8316 Innovation St,Singapore,SG,018989,SG,68316.28,ACTIVE
CUST-45491,Meridian Robotics Corp,TX-18134926,3532 Lincoln Ave,Sydney,NSW,2000,AU,31534.98,ACTIVE
CUST-45492,Atlas Retail Ltd,TX-23353295,7787 Industrial Lane,Singapore,SG,018989,SG,149175.98,ACTIVE
CUST-45493,Catalyst Innovations LLC,58-9791142,6281 Pine St,New York,NY,10005,US,46855.39,ACTIVE
CUST-45494,Frontier Technologies Holdings,TX-23546281,837 Grand Lane,Berlin,BE,10115,DE,98534.44,ACTIVE
CUST-45495,Nexus Pharmaceuticals Holdings,TX-64299645,5232 Maple Rd,Sydney,NSW,2000,AU,25517.16,ACTIVE
CUST-45496,Summit Innovations Group,16-3356254,8776 Pine Pkwy,Atlanta,GA,30301,US,128616.22,ACTIVE
CUST-45497,Prime Robotics Ltd,11-7549095,5876 Grand Lane,Dallas,TX,75201,US,62465.95,ACTIVE
CUST-45498,Terra Robotics Corp,46-6938430,5823 Grand Way,Atlanta,GA,30301,US,36676.65,ACTIVE
CUST-45499,Terra Consulting Inc,82-2784762,5845 Highland Pkwy,Chicago,IL,60601,US,50781.1,ACTIVE
CUST-45500,Aero Dynamics Group,TX-16558895,6630 Industrial Blvd,Berlin,BE,10115,DE,101609.17,ACTIVE
CUST-45501,Beacon Robotics Partners,TX-53017872,4903 Gateway Rd,Toronto,ON,M5H 2N2,CA,25811.3,ACTIVE
CUST-45502,Echo Financial LLC,10-7487625,8986 Highland Blvd,Denver,CO,80202,US,119647.09,ACTIVE
CUST-45503,Omni Retail Group,TX-99847903,7780 Cedar Dr,Sydney,NSW,2000,AU,39790.69,ACTIVE
CUST-45504,Horizon Enterprises Partners,45-8266697,2701 Grand Rd,Miami,FL,33101,US,120329.94,ACTIVE
CUST-45505,Pinnacle Retail Partners,36-3075846,9427 Mission Pkwy,Austin,TX,78701,US,105527.16,ACTIVE
CUST-45506,Horizon Networks Holdings,29-5178402,2277 Enterprise Blvd,Seattle,WA,98101,US,77208.83,ACTIVE
CUST-45507,Quantum Technologies Partners,TX-66510504,4631 Gateway Dr,Sydney,NSW,2000,AU,74257.28,ACTIVE
CUST-45508,Silverline Financial Group,TX-72008847,6466 Gateway Pkwy,Toronto,ON,M5H 2N2,CA,72485.89,ACTIVE
CUST-45509,Zenith Solutions Inc,GB659466046,1871 Broadway Rd,London,ENG,EC1A 1BB,GB,2928.41,ACTIVE
CUST-45510,Pacific Consulting LLC,80-7849268,5183 Gateway Ave,New York,NY,10005,US,1105.28,ACTIVE
CUST-45511,Crest Systems LLC,35-8739197,4757 Industrial Pkwy,Atlanta,GA,30301,US,119521.54,ACTIVE
CUST-45512,Pinnacle Retail Ltd,89-4517664,4927 Cedar Blvd,Denver,CO,80202,US,73842.58,ACTIVE
CUST-45513,Zenith Healthcare LLC,41-1167760,6294 Lincoln Ave,Austin,TX,78701,US,30288.79,ACTIVE
CUST-45514,Atlas Financial LLC,TX-98221028,4765 Technology Lane,Toronto,ON,M5H 2N2,CA,99183.29,ACTIVE
CUST-45515,Cortex Robotics International,44-5697334,9970 Gateway St,Miami,FL,33101,US,67239.97,ACTIVE
CUST-45516,Echo Pharmaceuticals Holdings,19-7190785,2623 Industrial Rd,Dallas,TX,75201,US,141542.11,ACTIVE
CUST-45517,Endeavor Retail Ltd,75-4714217,5150 Pine Lane,Miami,FL,33101,US,124867.97,ACTIVE
