ORIG_SYSTEM_REFERENCE,ACCOUNT_NUMBER,PARTY_NAME,JGZZ_FISCAL_CODE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY_CODE,ACCOUNT_STATUS,INSERT_UPDATE_FLAG
,ACC-671858,Quantum Logistics Group,TX-23756669,4112 Lincoln Blvd,Toronto,ON,M5H 2N2,CA,A,I
,ACC-688508,Nexus Semiconductor Partners,39-9478454,620 Market Ave,Boston,MA,02115,US,A,I
,ACC-267414,Global Biotech Partners,TX-10872248,3711 Commerce Pkwy,Sydney,NSW,2000,AU,A,I
,ACC-988662,Meridian Systems Group,21-7374122,2647 Washington Dr,Seattle,WA,98101,US,A,I
CUST-42909,ACC-407419,Terra Robotics Group,TX-60806024,811 Commerce Ave,Singapore,SG,018989,SG,A,I
CUST-42910,ACC-996865,Nova Semiconductor Ltd,TX-48840994,1239 Grand Way,Sydney,NSW,2000,AU,A,I
CUST-42911,ACC-379946,Delta Pharmaceuticals Partners,57-6960453,4654 Commerce Dr,San Francisco,CA,94102,US,A,I
CUST-42912,ACC-771088,Pinnacle Robotics Corp,58-5528972,8851 Lincoln Blvd,Atlanta,GA,30301,US,A,I
CUST-42913,ACC-694731,Delta Systems Inc,44-2110460,3852 Grand Dr,Chicago,IL,60601,US,A,I
CUST-42914,ACC-665158,Solar Healthcare Holdings,27-5137722,6582 Commerce Blvd,New York,NY,10005,US,A,I
CUST-42915,ACC-892495,Precision Semiconductor Partners,27-9548432,9660 Enterprise Dr,Boston,MA,02115,US,A,I
CUST-42916,ACC-680099,Horizon Pharmaceuticals Corp,58-8852574,2721 Technology Ave,Chicago,IL,60601,US,A,I
CUST-42917,ACC-857168,Apex Pharmaceuticals Group,30-8612220,5673 Pine Pkwy,Chicago,IL,60601,US,A,I
CUST-42918,ACC-308573,Precision Innovations Corp,TX-95758349,8417 Pine Pkwy,Berlin,BE,10115,DE,A,I
CUST-42919,ACC-480612,Vanguard Networks Corp,51-9197443,8937 Gateway St,Miami,FL,33101,US,A,I
CUST-42920,ACC-897549,Crest Financial Inc,TX-75228535,4046 Oak Ave,Toronto,ON,M5H 2N2,CA,A,I
CUST-42921,ACC-665492,Stellar Retail Holdings,87-8099076,9107 Cedar Pkwy,Dallas,TX,75201,US,A,I
CUST-42922,ACC-122056,Global Manufacturing Partners,41-4769795,6218 Commerce Lane,Seattle,WA,98101,US,A,I
CUST-42923,ACC-174299,Delta Semiconductor Ltd,18-1527021,217 Oak St,Boston,MA,02115,US,A,I
CUST-42924,ACC-354801,Cortex Financial Group,TX-86644106,8053 Washington Blvd,Toronto,ON,M5H 2N2,CA,A,I
CUST-42925,ACC-864491,Kinetics Enterprises Ltd,64-7897151,1645 Pine Rd,Denver,CO,80202,US,A,I
CUST-42926,ACC-246991,Horizon Pharmaceuticals Inc,34-4191175,6696 Industrial Ave,Boston,MA,02115,US,A,I
CUST-42927,ACC-666847,Meridian Solutions Group,80-2642635,7679 Lincoln Ave,Atlanta,GA,30301,US,A,I
CUST-42928,ACC-272634,Apex Aerospace Ltd,37-7728339,2824 Technology Lane,Atlanta,GA,30301,US,A,I
CUST-42929,ACC-411120,Aero Logistics Partners,99-9164991,4445 Commerce Pkwy,Chicago,IL,60601,US,A,I
CUST-42930,ACC-656926,Omni Technologies Inc,71-9436429,5238 Grand St,Miami,FL,33101,US,A,I
CUST-42931,ACC-697347,Pacific Technologies LLC,GB352548261,3144 Oak Ave,London,ENG,EC1A 1BB,GB,A,I
CUST-42932,ACC-850981,Silverline Semiconductor Inc,TX-44999379,1443 Technology Dr,Singapore,SG,018989,SG,A,I
CUST-42933,ACC-751332,Solar Financial Group,50-2217071,6584 Maple Pkwy,Atlanta,GA,30301,US,A,I
CUST-42934,ACC-356150,Vertex Aerospace Ltd,TX-56843172,8388 Highland Blvd,Singapore,SG,018989,SG,A,I
CUST-42935,ACC-956795,Nova Manufacturing Corp,93-9874152,7279 Mission Pkwy,Miami,FL,33101,US,A,I
CUST-42936,ACC-395442,Crest Pharmaceuticals Corp,TX-84252420,4433 Pine Ave,Toronto,ON,M5H 2N2,CA,A,I
CUST-42937,ACC-969634,Omni Systems Ltd,16-2548511,4425 Gateway Lane,New York,NY,10005,US,A,I
CUST-42938,ACC-217308,Prime Technologies Inc,66-8175395,5564 Maple Pkwy,San Francisco,CA,94102,US,A,I
CUST-42939,ACC-934794,Pinnacle Retail Inc,26-1701771,6149 Mission Blvd,Chicago,IL,60601,US,A,I
CUST-42940,ACC-526117,Summit Networks Ltd,TX-85146293,4188 Pine Dr,Sydney,NSW,2000,AU,A,I
CUST-42941,ACC-870763,Vanguard Financial Corp,52-7907400,3000 Technology St,San Francisco,CA,94102,US,A,I
CUST-42942,ACC-956253,Silverline Energy Corp,TX-73174945,1871 Enterprise St,Berlin,BE,10115,DE,A,I
CUST-42943,ACC-392136,Sterling Networks Group,GB307371533,3828 Lincoln St,London,ENG,EC1A 1BB,GB,A,I
CUST-42944,ACC-378361,Pinnacle Energy International,24-5382463,8446 Enterprise Dr,Austin,TX,78701,US,A,I
CUST-42945,ACC-704596,Summit Pharmaceuticals Partners,75-2940214,5763 Industrial Rd,Miami,FL,33101,US,A,I
CUST-42946,ACC-446239,Global Energy Inc,65-2173965,7244 Market Way,Denver,CO,80202,US,A,I
CUST-42947,ACC-301158,Solar Pharmaceuticals Group,61-5960271,8408 Broadway Rd,Denver,CO,80202,US,A,I
CUST-42948,ACC-550770,Catalyst Dynamics Corp,10-6098175,9424 Broadway Rd,Dallas,TX,75201,US,A,I
CUST-42949,ACC-397571,Solar Industries Holdings,TX-32775593,7344 Washington Lane,Sydney,NSW,2000,AU,A,I
CUST-42950,ACC-356736,Cortex Robotics International,35-3472189,1630 Lincoln Pkwy,Boston,MA,02115,US,A,I
CUST-42951,ACC-355836,Kinetics Robotics LLC,TX-61536717,7561 Technology Way,Toronto,ON,M5H 2N2,CA,A,I
CUST-42952,ACC-684482,Vanguard Logistics LLC,TX-79519112,7065 Lincoln Blvd,Sydney,NSW,2000,AU,A,I
CUST-42953,ACC-854213,Silverline Pharmaceuticals Holdings,TX-69401199,2284 Commerce Dr,Sydney,NSW,2000,AU,A,I
CUST-42954,ACC-646622,Cortex Enterprises Holdings,41-5652512,2707 Corporate Lane,New York,NY,10005,US,A,I
CUST-42955,ACC-666390,Frontier Financial Group,44-6634586,7306 Oak Pkwy,Boston,MA,02115,US,A,I
CUST-42956,ACC-527398,Nexus Retail Corp,TX-38716269,3888 Enterprise Blvd,Toronto,ON,M5H 2N2,CA,A,I
CUST-42957,ACC-907189,Echo Biotech Holdings,TX-66390708,6912 Grand Way,Berlin,BE,10115,DE,A,I
CUST-42958,ACC-870319,Beacon Semiconductor Partners,59-8030010,7914 Market Dr,New York,NY,10005,US,A,I
CUST-42959,ACC-936912,Delta Consulting Ltd,59-6639317,4571 Technology Lane,Austin,TX,78701,US,A,I
CUST-42960,ACC-795205,Synapse Solutions Holdings,TX-62884503,2191 Mission St,Singapore,SG,018989,SG,A,I
CUST-42961,ACC-576786,Beacon Aerospace Partners,43-7360307,2323 Commerce Blvd,Austin,TX,78701,US,A,I
CUST-42962,ACC-885408,Solar Systems Partners,TX-20993268,4658 Technology Pkwy,Berlin,BE,10115,DE,A,I
CUST-42963,ACC-350132,Horizon Networks Ltd,35-1341919,1224 Grand St,Boston,MA,02115,US,A,I
CUST-42964,ACC-275939,Stellar Consulting LLC,TX-44392446,9340 Washington Lane,Toronto,ON,M5H 2N2,CA,A,I
