ORIG_SYSTEM_REFERENCE,ACCOUNT_NUMBER,PARTY_NAME,JGZZ_FISCAL_CODE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY_CODE,ACCOUNT_STATUS,INSERT_UPDATE_FLAG
FBDI-EXT-97029,ACC-262325,Beacon Pharmaceuticals Group,51-9349050,6475 Broadway Rd,Seattle,WA,98101,US,A,I
FBDI-EXT-90286,ACC-159591,Prime Aerospace Partners,68-2524530,2830 Broadway Ave,Dallas,TX,75201,US,A,I
FBDI-EXT-91323,ACC-758934,Echo Industries International,TX-26954109,3283 Enterprise Blvd,Sydney,NSW,2000,AU,A,I
FBDI-EXT-98203,ACC-540875,Cortex Solutions Ltd,43-7918874,1295 Commerce Pkwy,New York,NY,10005,US,A,I
FBDI-EXT-92323,ACC-970509,Stellar Manufacturing Ltd,21-7320338,6717 Highland St,Boston,MA,02115,US,A,I
FBDI-EXT-95491,ACC-644237,Delta Energy Partners,44-8094315,6401 Lincoln Blvd,Boston,MA,02115,US,A,I
FBDI-EXT-93754,ACC-484811,Terra Energy Corp,47-7247013,3216 Industrial Ave,Seattle,WA,98101,US,A,I
FBDI-EXT-94856,ACC-181245,Vertex Pharmaceuticals LLC,75-6812102,9612 Enterprise Way,Austin,TX,78701,US,A,I
FBDI-EXT-99919,ACC-200802,Endeavor Industries Corp,48-6463290,878 Washington Rd,San Francisco,CA,94102,US,A,I
FBDI-EXT-95100,ACC-282292,Prime Industries Ltd,20-9663905,5227 Pine Rd,Dallas,TX,75201,US,A,I
FBDI-EXT-93295,ACC-733321,Atlantic Healthcare Ltd,TX-13494433,6734 Corporate Way,Berlin,BE,10115,DE,A,I
FBDI-EXT-91741,ACC-399160,Cortex Solutions International,64-9121413,262 Commerce Blvd,New York,NY,10005,US,A,I
FBDI-EXT-94476,ACC-920835,Pinnacle Semiconductor Corp,TX-33632427,5289 Market Ave,Sydney,NSW,2000,AU,A,I
FBDI-EXT-93368,ACC-149828,Atlantic Industries Group,TX-51346017,2656 Mission Rd,Toronto,ON,M5H 2N2,CA,A,I
FBDI-EXT-90408,ACC-125095,Pacific Networks Ltd,TX-64649622,273 Cedar Lane,Berlin,BE,10115,DE,A,I
FBDI-EXT-93650,ACC-180988,Kinetics Retail Corp,TX-99704097,8510 Industrial Lane,Singapore,SG,018989,SG,A,I
FBDI-EXT-98717,ACC-983952,Global Technologies Partners,77-9724788,2315 Washington St,Atlanta,GA,30301,US,A,I
FBDI-EXT-96492,ACC-706574,Summit Energy Partners,94-2872885,6655 Technology Blvd,Boston,MA,02115,US,A,I
FBDI-EXT-98653,ACC-127838,Solar Biotech Inc,72-7081538,4060 Maple Rd,Austin,TX,78701,US,A,I
FBDI-EXT-90066,ACC-579169,Pinnacle Pharmaceuticals International,79-5131507,7191 Cedar Blvd,Dallas,TX,75201,US,A,I
FBDI-EXT-98371,ACC-813202,Nexus Semiconductor LLC,48-6339150,1367 Commerce Way,Austin,TX,78701,US,A,I
FBDI-EXT-96696,ACC-970890,Atlantic Energy Partners,18-6891421,4829 Corporate Ave,Chicago,IL,60601,US,A,I
FBDI-EXT-93858,ACC-846205,Atlantic Systems Partners,39-8396326,1216 Corporate Dr,Chicago,IL,60601,US,A,I
FBDI-EXT-94859,ACC-942317,Terra Financial Partners,79-4812765,4253 Grand St,Miami,FL,33101,US,A,I
FBDI-EXT-91922,ACC-780420,Vanguard Pharmaceuticals Holdings,45-9736012,3318 Grand Way,Austin,TX,78701,US,A,I
FBDI-EXT-97453,ACC-627874,Delta Semiconductor Corp,GB301648809,4531 Enterprise Lane,London,ENG,EC1A 1BB,GB,A,I
FBDI-EXT-92666,ACC-431253,Terra Consulting Group,GB626976063,5571 Mission Dr,London,ENG,EC1A 1BB,GB,A,I
FBDI-EXT-96061,ACC-836883,Apex Systems LLC,57-8980958,3780 Gateway Blvd,Miami,FL,33101,US,A,I
FBDI-EXT-99470,ACC-463892,Frontier Robotics Corp,TX-67908307,712 Gateway Dr,Berlin,BE,10115,DE,A,I
FBDI-EXT-94235,ACC-181096,Horizon Systems Ltd,19-8947632,565 Innovation Ave,Dallas,TX,75201,US,A,I
FBDI-EXT-93498,ACC-758358,Sterling Energy Group,TX-93256270,8134 Pine Blvd,Toronto,ON,M5H 2N2,CA,A,I
FBDI-EXT-91367,ACC-470394,Aero Consulting LLC,TX-82462993,7358 Industrial Way,Sydney,NSW,2000,AU,A,I
FBDI-EXT-93328,ACC-444885,Pacific Industries Partners,44-7625931,1907 Highland Way,Austin,TX,78701,US,A,I
FBDI-EXT-91410,ACC-372438,Pinnacle Financial Partners,33-6228914,975 Gateway Dr,Atlanta,GA,30301,US,A,I
FBDI-EXT-94196,ACC-925169,Omni Industries Partners,60-1387421,4686 Market St,Seattle,WA,98101,US,A,I
FBDI-EXT-98947,ACC-444779,Beacon Retail Group,83-4888334,3146 Mission Way,New York,NY,10005,US,A,I
FBDI-EXT-96817,ACC-830549,Summit Healthcare Ltd,86-7049302,9129 Oak Pkwy,Boston,MA,02115,US,A,I
FBDI-EXT-91530,ACC-280881,Vanguard Robotics Partners,82-7554724,2741 Highland Lane,Dallas,TX,75201,US,A,I
FBDI-EXT-94446,ACC-807365,Delta Dynamics Partners,27-2454601,1893 Oak Blvd,Boston,MA,02115,US,A,I
FBDI-EXT-98132,ACC-165077,Terra Energy International,TX-18365592,530 Broadway Rd,Toronto,ON,M5H 2N2,CA,A,I
FBDI-EXT-95571,ACC-522952,Sterling Enterprises Group,TX-33754208,7197 Enterprise Rd,Berlin,BE,10115,DE,A,I
FBDI-EXT-99202,ACC-985880,Nexus Aerospace Group,20-7511472,9497 Highland Pkwy,Miami,FL,33101,US,A,I
FBDI-EXT-94782,ACC-979927,Nova Industries Holdings,38-4352526,2480 Mission Rd,Atlanta,GA,30301,US,A,I
